team,season,role,position,shirt_number,full_name,country,is_overseas,birthdate
FC Barcelona,2022/2023,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2022/2023,Player,Defender,4.0,Ronald Araújo,Uruguay,1,1999-03-07
FC Barcelona,2022/2023,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2022/2023,Player,Midfielder,6.0,Gavi,Spain,0,2004-08-05
FC Barcelona,2022/2023,Player,Forward,7.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2022/2023,Player,Midfielder,8.0,Pedri,Spain,0,2002-11-25
FC Barcelona,2022/2023,Player,Forward,9.0,Robert Lewandowski,Poland,1,1988-08-21
FC Barcelona,2022/2023,Player,Forward,10.0,Ansu Fati,Spain,0,2002-10-31
FC Barcelona,2022/2023,Player,Forward,11.0,Ferrán Torres,Spain,0,2000-02-29
FC Barcelona,2022/2023,Player,Goalkeeper,13.0,Iñaki Peña,Spain,0,1999-03-02
FC Barcelona,2022/2023,Player,Defender,15.0,Andreas Christensen,Denmark,1,1996-04-10
FC Barcelona,2022/2023,Player,Defender,17.0,Marcos Alonso,Spain,0,1990-12-28
FC Barcelona,2022/2023,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2022/2023,Player,Midfielder,19.0,Franck Kessié,Ivory Coast,1,1996-12-19
FC Barcelona,2022/2023,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2022/2023,Player,Midfielder,21.0,Frenkie de Jong,Netherlands,1,1997-05-12
FC Barcelona,2022/2023,Player,Forward,22.0,Raphinha,Brazil,1,1996-12-14
FC Barcelona,2022/2023,Player,Defender,23.0,Jules Koundé,France,1,1998-11-12
FC Barcelona,2022/2023,Player,Defender,24.0,Eric García,Spain,0,2001-01-09
FC Barcelona,2022/2023,Player,Defender,28.0,Álex Baldé,Spain,0,2003-10-18
FC Barcelona,2022/2023,Player,Midfielder,29.0,Marc Casadó,Spain,0,2003-09-14
FC Barcelona,2022/2023,Player,Goalkeeper,31.0,Ander Astralaga,Spain,0,2004-03-03
FC Barcelona,2022/2023,Player,Midfielder,32.0,Pablo Torre,Spain,0,2003-04-03
FC Barcelona,2022/2023,Player,Defender,35.0,Chadi Riad,Spain,0,2003-06-17
FC Barcelona,2022/2023,Player,Goalkeeper,36.0,Arnau Tenas,Spain,0,2001-05-30
FC Barcelona,2022/2023,Player,Forward,37.0,Ilias Akhomach,Spain,0,2004-04-16
FC Barcelona,2022/2023,Player,Forward,38.0,Ángel Alarcón,Spain,0,2004-05-15
FC Barcelona,2022/2023,Staff,Ass. Manager,,Óscar Hernández,Spain,0,1976-09-24
FC Barcelona,2022/2023,Staff,Ass. Manager,,Sergio Alegre,Spain,0,1977-05-03
FC Barcelona,2022/2023,Staff,Athletic Coach,,Iván Torres,Spain,0,1978-05-26
FC Barcelona,2022/2023,Staff,Athletic Coach,,Andrés Martín,Spain,0,1985-03-12
FC Barcelona,2022/2023,Staff,Game Analyst,,Sergio García,Spain,0,1979-01-04
FC Barcelona,2022/2023,Staff,Game Analyst,,Toni Lobo,Spain,0,1979-02-28
FC Barcelona,2022/2023,Staff,Game Analyst,,David Prats,Spain,0,1979-04-03
FC Barcelona,2022/2023,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2022/2023,Staff,Manager,,Xavi,Spain,0,1980-01-25
FC Barcelona,2021/2022,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2021/2022,Player,Defender,2.0,Sergiño Dest,USA,1,2000-11-03
FC Barcelona,2021/2022,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2021/2022,Player,Defender,4.0,Ronald Araújo,Uruguay,1,1999-03-07
FC Barcelona,2021/2022,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2021/2022,Player,Midfielder,6.0,Riqui Puig,Spain,0,1999-08-13
FC Barcelona,2021/2022,Player,Forward,7.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2021/2022,Player,Defender,8.0,Dani Alves,Brazil,1,1983-05-06
FC Barcelona,2021/2022,Player,Forward,9.0,Memphis Depay,Netherlands,1,1994-02-13
FC Barcelona,2021/2022,Player,Forward,10.0,Ansu Fati,Spain,0,2002-10-31
FC Barcelona,2021/2022,Player,Forward,11.0,Adama Traoré,Spain,0,1996-01-25
FC Barcelona,2021/2022,Player,Forward,12.0,Martin Braithwaite,Denmark,1,1991-06-05
FC Barcelona,2021/2022,Player,Goalkeeper,13.0,Neto,Brazil,1,1989-07-19
FC Barcelona,2021/2022,Player,Midfielder,14.0,Nico,Spain,0,2002-01-03
FC Barcelona,2021/2022,Player,Defender,15.0,Clément Lenglet,France,1,1995-06-17
FC Barcelona,2021/2022,Player,Midfielder,16.0,Pedri,Spain,0,2002-11-25
FC Barcelona,2021/2022,Player,Forward,17.0,Luuk de Jong,Netherlands,1,1990-08-27
FC Barcelona,2021/2022,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2021/2022,Player,Forward,19.0,Ferrán Torres,Spain,0,2000-02-29
FC Barcelona,2021/2022,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2021/2022,Player,Midfielder,21.0,Frenkie de Jong,Netherlands,1,1997-05-12
FC Barcelona,2021/2022,Player,Defender,22.0,Óscar Mingueza,Spain,0,1999-05-13
FC Barcelona,2021/2022,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2021/2022,Player,Defender,24.0,Eric García,Spain,0,2001-01-09
FC Barcelona,2021/2022,Player,Forward,25.0,Pierre-Emerick Aubameyang,Gabon,1,1989-06-18
FC Barcelona,2021/2022,Player,Goalkeeper,27.0,Lazar Carević,Montenegro,1,1999-03-16
FC Barcelona,2021/2022,Player,Forward,29.0,Ferrán Jutglà,Spain,0,1999-02-01
FC Barcelona,2021/2022,Player,Midfielder,30.0,Gavi,Spain,0,2004-08-05
FC Barcelona,2021/2022,Player,Defender,31.0,Álex Baldé,Spain,0,2003-10-18
FC Barcelona,2021/2022,Player,Goalkeeper,31.0,Ander Astralaga,Spain,0,2004-03-03
FC Barcelona,2021/2022,Player,Forward,33.0,Abde Ezzalzouli,Morocco,1,2001-12-17
FC Barcelona,2021/2022,Player,Midfielder,34.0,Álvaro Sanz,Spain,0,2001-02-14
FC Barcelona,2021/2022,Player,Defender,35.0,Arnau Comas,Spain,0,2000-04-11
FC Barcelona,2021/2022,Player,Goalkeeper,36.0,Arnau Tenas,Spain,0,2001-05-30
FC Barcelona,2021/2022,Player,Forward,37.0,Ilias Akhomach,Spain,0,2004-04-16
FC Barcelona,2021/2022,Player,Defender,38.0,Guillem Jaime,Spain,0,1999-01-06
FC Barcelona,2021/2022,Player,Forward,39.0,Estanis Pedrola,Spain,0,2003-08-24
FC Barcelona,2021/2022,Player,Midfielder,40.0,Lucas de Vega,Spain,0,2000-01-16
FC Barcelona,2021/2022,Player,Defender,41.0,Mika,Spain,0,2001-07-01
FC Barcelona,2021/2022,Player,Midfielder,43.0,Jandro Orellana,Spain,0,2000-08-07
FC Barcelona,2021/2022,Staff,Ass. Manager,,Óscar Hernández,Spain,0,1976-09-24
FC Barcelona,2021/2022,Staff,Ass. Manager,,Sergio Alegre,Spain,0,1977-05-03
FC Barcelona,2021/2022,Staff,Athletic Coach,,Iván Torres,Spain,0,1978-05-26
FC Barcelona,2021/2022,Staff,Athletic Coach,,Andrés Martín,Spain,0,1985-03-12
FC Barcelona,2021/2022,Staff,Game Analyst,,Sergio García,Spain,0,1979-01-04
FC Barcelona,2021/2022,Staff,Game Analyst,,Toni Lobo,Spain,0,1979-02-28
FC Barcelona,2021/2022,Staff,Game Analyst,,David Prats,Spain,0,1979-04-03
FC Barcelona,2021/2022,Staff,Goalkeeping Coach,,De la Fuente,Spain,0,1970-12-22
FC Barcelona,2021/2022,Staff,Manager,,Xavi,Spain,0,1980-01-25
FC Barcelona,2020/2021,Player,Goalkeeper,1.0,Marc-André ter Stegen,Germany,1,1992-04-30
FC Barcelona,2020/2021,Player,Defender,2.0,Sergiño Dest,USA,1,2000-11-03
FC Barcelona,2020/2021,Player,Defender,3.0,Piqué,Spain,0,1987-02-02
FC Barcelona,2020/2021,Player,Defender,4.0,Ronald Araújo,Uruguay,1,1999-03-07
FC Barcelona,2020/2021,Player,Midfielder,5.0,Busquets,Spain,0,1988-07-16
FC Barcelona,2020/2021,Player,Forward,7.0,Antoine Griezmann,France,1,1991-03-21
FC Barcelona,2020/2021,Player,Midfielder,8.0,Miralem Pjanić,Bosnia-Herzegovina,1,1990-04-02
FC Barcelona,2020/2021,Player,Forward,9.0,Martin Braithwaite,Denmark,1,1991-06-05
FC Barcelona,2020/2021,Player,Forward,10.0,Lionel Messi,Argentina,1,1987-06-24
FC Barcelona,2020/2021,Player,Forward,11.0,Ousmane Dembélé,France,1,1997-05-15
FC Barcelona,2020/2021,Player,Midfielder,12.0,Riqui Puig,Spain,0,1999-08-13
FC Barcelona,2020/2021,Player,Goalkeeper,13.0,Neto,Brazil,1,1989-07-19
FC Barcelona,2020/2021,Player,Midfielder,14.0,Coutinho,Brazil,1,1992-06-12
FC Barcelona,2020/2021,Player,Defender,15.0,Clément Lenglet,France,1,1995-06-17
FC Barcelona,2020/2021,Player,Midfielder,16.0,Pedri,Spain,0,2002-11-25
FC Barcelona,2020/2021,Player,Forward,17.0,Trincão,Portugal,1,1999-12-29
FC Barcelona,2020/2021,Player,Defender,18.0,Jordi Alba,Spain,0,1989-03-21
FC Barcelona,2020/2021,Player,Midfielder,19.0,Matheus Fernandes,Brazil,1,1998-06-30
FC Barcelona,2020/2021,Player,Midfielder,20.0,Sergi Roberto,Spain,0,1992-02-07
FC Barcelona,2020/2021,Player,Midfielder,21.0,Frenkie de Jong,Netherlands,1,1997-05-12
FC Barcelona,2020/2021,Player,Forward,22.0,Ansu Fati,Spain,0,2002-10-31
FC Barcelona,2020/2021,Player,Defender,23.0,Samuel Umtiti,France,1,1993-11-14
FC Barcelona,2020/2021,Player,Defender,24.0,Junior Firpo,Spain,0,1996-08-22
FC Barcelona,2020/2021,Player,Goalkeeper,26.0,Iñaki Peña,Spain,0,1999-03-02
FC Barcelona,2020/2021,Player,Midfielder,27.0,Ilaix Moriba,Guinea,1,2003-01-19
FC Barcelona,2020/2021,Player,Defender,28.0,Óscar Mingueza,Spain,0,1999-05-13
FC Barcelona,2020/2021,Player,Forward,29.0,Konrad de la Fuente,USA,1,2001-07-16
FC Barcelona,2020/2021,Player,Midfielder,30.0,Álex Collado,Spain,0,1999-04-22
FC Barcelona,2020/2021,Player,Defender,32.0,Santiago Ramos Mingo,Argentina,1,2001-11-21
FC Barcelona,2020/2021,Player,Goalkeeper,36.0,Arnau Tenas,Spain,0,2001-05-30
FC Barcelona,2020/2021,Staff,Ass. Manager,,Henrik Larsson,Sweden,1,1971-09-20
FC Barcelona,2020/2021,Staff,Ass. Manager,,Alfred Schreuder,Netherlands,1,1972-11-02
FC Barcelona,2020/2021,Staff,Athletic Coach,,Albert Roca,Spain,0,1962-10-20
FC Barcelona,2020/2021,Staff,Athletic Coach,,Jaume Bartrés,Spain,0,1970-07-17
FC Barcelona,2020/2021,Staff,Athletic Coach,,Daniel Romero,Spain,0,
FC Barcelona,2020/2021,Player,Forward,,Fabio Blanco,Spain,0,2004-02-18
